Meter read date,Usage date,Total cost,High temperature (F),Low temperature (F)
7/15/2025,7/14/2025,"$6.81",105,87
7/16/2025,7/15/2025,"$4.42",105,86
7/17/2025,7/16/2025,"$3.23",95,82
7/18/2025,7/17/2025,"$3.53",100,80
7/19/2025,7/18/2025,"$5.17",106,86
7/20/2025,7/19/2025,"$5.62",107,86
7/21/2025,7/20/2025,"$5.02",96,87
7/22/2025,7/21/2025,"$3.83",103,84
7/23/2025,7/22/2025,"$5.91",100,84
7/24/2025,7/23/2025,"$5.02",102,84
7/25/2025,7/24/2025,"$5.32",106,77
7/26/2025,7/25/2025,"$5.17",108,78
7/27/2025,7/26/2025,"$3.53",107,78
7/28/2025,7/27/2025,"$5.32",109,81
7/29/2025,7/28/2025,"$6.21",112,82
7/30/2025,7/29/2025,"$4.42",108,86
7/31/2025,7/30/2025,"$4.13",109,85
8/1/2025,7/31/2025,"$5.77",110,87
8/2/2025,8/1/2025,"$4.72",111,90
8/3/2025,8/2/2025,"$6.66",112,89
8/4/2025,8/3/2025,"$4.72",111,83
8/5/2025,8/4/2025,"$6.51",110,85
8/6/2025,8/5/2025,"$7.40",113,88
8/7/2025,8/6/2025,"$6.36",114,89
8/8/2025,8/7/2025,"$5.77",116,92
8/9/2025,8/8/2025,"$6.06",112,89
8/10/2025,8/9/2025,"$4.72",108,89
8/11/2025,8/10/2025,"$4.41",105,88
8/12/2025,8/11/2025,"$7.53",109,90
8/13/2025,8/12/2025,"$4.27",109,88
8/14/2025,8/13/2025,"$4.27",107,89
8/15/2025,8/14/2025,"$3.28",107,83
8/16/2025,8/15/2025,"$3.99",101,76
8/17/2025,8/16/2025,"$4.27",103,82
8/18/2025,8/17/2025,"$4.13",104,84
8/19/2025,8/18/2025,"$6.11",105,81
8/20/2025,8/19/2025,"$5.26",106,84
8/21/2025,8/20/2025,"$4.55",112,87
8/22/2025,8/21/2025,"$5.83",112,88
8/23/2025,8/22/2025,"$4.41",111,88
8/24/2025,8/23/2025,"$3.84",109,89
8/25/2025,8/24/2025,"$4.84",109,90
8/26/2025,8/25/2025,"$6.26",102,74
8/27/2025,8/26/2025,"$3.56",97,77
8/28/2025,8/27/2025,"$3.13",100,78
8/29/2025,8/28/2025,"$3.99",105,86
8/30/2025,8/29/2025,"$3.70",101,79
8/31/2025,8/30/2025,"$4.98",105,82
9/1/2025,8/31/2025,"$5.26",108,82
9/2/2025,9/1/2025,"$4.27",107,85
9/3/2025,9/2/2025,"$6.96",106,84
9/4/2025,9/3/2025,"$4.27",104,76
9/5/2025,9/4/2025,"$4.84",96,73
9/6/2025,9/5/2025,"$3.28",96,78
9/7/2025,9/6/2025,"$3.28",99,82
9/8/2025,9/7/2025,"$6.40",101,81
9/9/2025,9/8/2025,"$5.97",104,83
9/10/2025,9/9/2025,"$4.39",105,83
9/11/2025,9/10/2025,"$3.54",106,83
9/12/2025,9/11/2025,"$3.96",101,81
9/13/2025,9/12/2025,"$2.68",99,79
9/14/2025,9/13/2025,"$5.10",97,73
9/15/2025,9/14/2025,"$3.96",100,73
9/16/2025,9/15/2025,"$6.52",103,74
9/17/2025,9/16/2025,"$4.10",104,79
9/18/2025,9/17/2025,"$4.81",101,84
9/19/2025,9/18/2025,"$4.81",98,76
9/20/2025,9/19/2025,"$4.67",96,77
9/21/2025,9/20/2025,"$3.96",102,79
9/22/2025,9/21/2025,"$4.67",98,81
9/23/2025,9/22/2025,"$2.83",92,79
9/24/2025,9/23/2025,"$3.11",100,76
9/25/2025,9/24/2025,"$3.25",106,81
9/26/2025,9/25/2025,"$5.24",105,84
9/27/2025,9/26/2025,"$3.68",90,65
Combined total cost,,"$357.77"
